x,y,u1,u2,p
0.02,0.91,-0.0326446,0.221155,-1.80113
0.02,0.92,-0.0539189,0.246562,-2.0271
0.02,0.93,-0.0525322,0.231273,-2.89875
0.02,0.94,-0.0511455,0.215984,-3.7704
0.02,0.95,-0.0497588,0.200695,-4.64205
0.02,0.96,-0.0180742,0.171518,-4.54843
0.02,0.97,0.068472,0.148472,-4.45481
0.02,0.98,0.218981,0.0989813,-5.46841
0.02,0.99,0.529491,0.0494907,-6.48201
0.02,1,1,-1.6612e-31,-7.4956
0.03,0,3.1857e-20,-2.46104e-20,-0.0360889
0.03,0.01,5.12367e-05,-3.99841e-05,-0.0357001
0.03,0.02,5.80326e-05,-4.6441e-05,-0.0353112
0.03,0.03,2.03877e-05,-1.93707e-05,-0.0349223
0.03,0.04,-1.98227e-05,3.75601e-06,-0.0345399
0.03,0.05,-6.00331e-05,2.68827e-05,-0.0341575
0.03,0.06,-0.000128285,7.8002e-05,-0.0332376
0.03,0.07,-0.000198877,0.00019156,-0.0323178
0.03,0.08,-0.000271809,0.000367556,-0.031398
0.03,0.09,-0.000332103,0.000576826,-0.0299629
0.03,0.1,-0.000392397,0.000786096,-0.0285277
0.03,0.11,-0.000469398,0.0010553,-0.0275941
0.03,0.12,-0.000542037,0.00138528,-0.0266604
0.03,0.13,-0.000610315,0.00177603,-0.0257268
0.03,0.14,-0.00066394,0.00220047,-0.0241703
0.03,0.15,-0.000717565,0.0026249,-0.0226138
0.03,0.16,-0.00078734,0.00309892,-0.0219573
0.03,0.17,-0.000854241,0.00363151,-0.0213007
0.03,0.18,-0.000918269,0.00422268,-0.0206442
0.03,0.19,-0.000968129,0.0048486,-0.0193881
0.03,0.2,-0.00101799,0.00547451,-0.0181321
0.03,0.21,-0.001083,0.00613884,-0.0179878
0.03,0.22,-0.00114747,0.00686138,-0.0178436
0.03,0.23,-0.00121141,0.00764215,-0.0176993
0.03,0.24,-0.0012609,0.00846156,-0.016957
0.03,0.25,-0.00131039,0.00928097,-0.0162147
0.03,0.26,-0.00137551,0.0101322,-0.0167764
0.03,0.27,-0.00144216,0.0110444,-0.017338
0.03,0.28,-0.00151035,0.0120178,-0.0178996
0.03,0.29,-0.00156315,0.0130362,-0.0178341
0.03,0.3,-0.00161596,0.0140547,-0.0177685
0.03,0.31,-0.001686,0.015102,-0.0192354
