x,y,u1,u2,p
0.02,0.21,-0.000447976,0.00414674,-0.0170427
0.02,0.22,-0.000361647,0.00469229,-0.017724
0.02,0.23,-0.000423617,0.00527899,-0.0174083
0.02,0.24,-0.000485587,0.00586569,-0.0170927
0.02,0.25,-0.000547557,0.00645239,-0.016777
0.02,0.26,-0.000609527,0.00703909,-0.0164613
0.02,0.27,-0.000671497,0.00762579,-0.0161456
0.02,0.28,-0.000733467,0.00821249,-0.0158299
0.02,0.29,-0.000795437,0.00879919,-0.0155142
0.02,0.3,-0.000857407,0.0093859,-0.0151985
0.02,0.31,-0.000754238,0.0101775,-0.0176795
0.02,0.32,-0.000658125,0.0110715,-0.0201605
0.02,0.33,-0.000735248,0.0119194,-0.0215966
0.02,0.34,-0.000812372,0.0127672,-0.0230327
0.02,0.35,-0.000889495,0.0136151,-0.0244688
0.02,0.36,-0.000966618,0.0144629,-0.0259049
0.02,0.37,-0.00104374,0.0153107,-0.027341
0.02,0.38,-0.00112087,0.0161586,-0.028777
0.02,0.39,-0.00119799,0.0170064,-0.0302131
0.02,0.4,-0.00127511,0.0178543,-0.0316492
0.02,0.41,-0.00113213,0.0190596,-0.0370736
0.02,0.42,-0.000991911,0.0203779,-0.042498
0.02,0.43,-0.00108696,0.0215593,-0.0463546
0.02,0.44,-0.00118201,0.0227407,-0.0502112
0.02,0.45,-0.00127706,0.0239221,-0.0540678
0.02,0.46,-0.00137211,0.0251036,-0.0579244
0.02,0.47,-0.00146716,0.026285,-0.0617809
0.02,0.48,-0.00156221,0.0274664,-0.0656375
0.02,0.49,-0.00165726,0.0286479,-0.0694941
0.02,0.5,-0.00175231,0.0298293,-0.0733507
0.02,0.51,-0.00178122,0.03188,-0.0836636
0.02,0.52,-0.00179044,0.0340045,-0.0939765
0.02,0.53,-0.00194828,0.035536,-0.103567
0.02,0.54,-0.00210613,0.0370674,-0.113157
0.02,0.55,-0.00226397,0.0385989,-0.122748
0.02,0.56,-0.00242182,0.0401303,-0.132338
0.02,0.57,-0.00257966,0.0416618,-0.141929
0.02,0.58,-0.00273751,0.0431933,-0.151519
0.02,0.59,-0.00289535,0.0447247,-0.16111
0.02,0.6,-0.0030532,0.0462562,-0.1707
0.02,0.61,-0.00343438,0.0493748,-0.187184
0.02,0.62,-0.00377015,0.0526198,-0.203667
0.02,0.63,-0.00382349,0.0548101,-0.222808
0.02,0.64,-0.00387683,0.0570004,-0.241949
0.02,0.65,-0.00393017,0.0591908,-0.261089
0.02,0.66,-0.00398351,0.0613811,-0.28023
0.02,0.67,-0.00403685,0.0635714,-0.29937
0.02,0.68,-0.00409018,0.0657617,-0.318511
0.02,0.69,-0.00414352,0.0679521,-0.337651
0.02,0.7,-0.00419686,0.0701424,-0.356792
0.02,0.71,-0.00227261,0.0739784,-0.396002
0.02,0.72,3.89689e-05,0.0772721,-0.435212
0.02,0.73,1.76987e-05,0.0798951,-0.448299
0.02,0.74,-3.57161e-06,0.0825181,-0.461385
0.02,0.75,-2.48419e-05,0.0851411,-0.474472
0.02,0.76,-4.61122e-05,0.0877641,-0.487558
0.02,0.77,-6.73824e-05,0.0903871,-0.500645
0.02,0.78,-8.86527e-05,0.0930101,-0.513731
0.02,0.79,-0.000109923,0.0956331,-0.526818
0.02,0.8,-0.000131193,0.0982561,-0.539904
0.02,0.81,-0.0207149,0.123636,-0.597501
0.02,0.82,-0.039187,0.146113,-0.655099
0.02,0.83,-0.0387694,0.142523,-0.875091
0.02,0.84,-0.0383517,0.138934,-1.09508
0.02,0.85,-0.037934,0.135344,-1.31507
0.02,0.86,-0.0375163,0.131755,-1.53507
0.02,0.87,-0.0370986,0.128165,-1.75506
0.02,0.88,-0.0366809,0.124576,-1.97505
0.02,0.89,-0.0362632,0.120986,-2.19504
0.02,0.9,-0.0358455,0.117397,-2.41503
0.02,0.91,-0.035265,0.107453,-2.39248
0.02,0.92,-0.0210451,0.0989547,-2.36993
0.02,0.93,-0.0334144,0.0865854,-2.62415
0.02,0.94,-0.00578379,0.074216,-2.87837
0.02,0.95,0.0618468,0.0618467,-3.1326
0.02,0.96,0.169477,0.0494774,-3.38682
0.02,0.97,0.317108,0.037108,-3.64104
0.02,0.98,0.504739,0.0247387,-3.89527
0.02,0.99,0.732369,0.0123693,-4.14949
0.02,1,1,1.37327e-17,-4.40371
0.03,0,1.52942e-19,-2.29447e-19,-0.0381866
0.03,0.01,0.000160331,-0.000218381,-0.0373173
0.03,0.02,0.000288663,-0.000344455,-0.036448
0.03,0.03,0.000384996,-0.000378223,-0.0355787
0.03,0.04,0.00027546,-0.000175376,-0.0346889
0.03,0.05,0.000165924,2.74721e-05,-0.0337992
0.03,0.06,5.63877e-05,0.00023032,-0.0329095
0.03,0.07,-5.31485e-05,0.000433167,-0.0320198
0.03,0.08,-0.000162685,0.000636015,-0.03113
0.03,0.09,-0.000272221,0.000838863,-0.0302403
0.03,0.1,-0.000381757,0.00104171,-0.0293506
0.03,0.11,-0.000409259,0.00118607,-0.0288693
0.03,0.12,-0.00042715,0.00142311,-0.0283879
0.03,0.13,-0.00043543,0.00175285,-0.0279066
0.03,0.14,-0.000527163,0.00228991,-0.026515
0.03,0.15,-0.000618896,0.00282697,-0.0251233
0.03,0.16,-0.00071063,0.00336403,-0.0237317
0.03,0.17,-0.000802363,0.0039011,-0.02234
0.03,0.18,-0.000894096,0.00443816,-0.0209483
0.03,0.19,-0.00098583,0.00497522,-0.0195567
0.03,0.2,-0.00107756,0.00551228,-0.018165
0.03,0.21,-0.00106807,0.00614791,-0.0188464
0.03,0.22,-0.00105977,0.0068721,-0.0195278
0.03,0.23,-0.00105268,0.00768485,-0.0202092
0.03,0.24,-0.00114563,0.0085649,-0.0198935
0.03,0.25,-0.00123859,0.00944496,-0.0195778
0.03,0.26,-0.00133154,0.010325,-0.0192621
0.03,0.27,-0.0014245,0.0112051,-0.0189464
